Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,House Value,House Construction Year,Monthly Owner Cost,Monthly Rent,Public Transport Rate,Personal Transport Rate,Commute Time Public,Commute Time Car,High School Rate,College Rate,Uneducated Rate,English Language,Spanish Language,White Population Rate,Black Population Rate,Hispanic Population Rate,Asian Population Rate,City,County,Lat,Lng,Housing_units,State
94020,1492.0,53.8,92386.0,64255.0,12.332439678284182,4.222520107238606,757800.0,1970.0,3183.0,1682.0,2.888086642599278,69.91576413959085,,,14.343163538873997,25.7372654155496,0.0,,,89.54423592493298,0.2010723860589812,5.361930294906166,0.7372654155495979,La Honda,San Mateo County,37.26,-122.23,849.0,CA
94021,212.0,29.1,-666666666.0,28790.0,44.81132075471698,3.30188679245283,-666666666.0,1963.0,-666666666.0,1104.0,0.0,48.93617021276596,,,9.90566037735849,3.30188679245283,0.0,,,100.0,0.0,61.320754716981135,0.0,Loma Mar,San Mateo County,37.27,-122.28,115.0,CA
94022,19568.0,47.8,208984.0,116957.0,4.139411283728537,1.4206868356500408,2000001.0,1967.0,4001.0,2823.0,1.825756647469673,75.5789731650533,9115.0,141265.0,2.918029435813573,22.097301717089124,0.3270645952575634,,,65.0858544562551,0.5825838103025347,3.050899427636958,28.61304170073589,Los Altos,Santa Clara County,37.36,-122.15,7479.0,CA
94024,23690.0,46.7,220970.0,98343.0,2.908400168847615,1.848881384550444,2000001.0,1960.0,4001.0,2822.0,2.4352381876394684,80.8673716891433,,,1.9966230476994515,24.229632756437315,0.2448290417897847,,,64.95567750105529,0.2321654706627268,5.217391304347826,28.092021950189952,Los Altos,Santa Clara County,37.36,-122.09,8178.0,CA
94025,42016.0,38.0,139833.0,76440.0,7.863670982482864,2.199162223914699,1692400.0,1959.0,4001.0,2104.0,5.162438807298621,67.06720071206053,54360.0,320050.0,4.988575780654989,19.08558644325971,0.7996953541507997,,,69.91622239146992,4.186500380807312,16.481816450875858,13.66146230007616,Menlo Park,San Mateo County,37.46,-122.18,16271.0,CA
94027,7371.0,49.1,250001.0,145589.0,3.2288698955365622,2.075702075702076,2000001.0,1957.0,4001.0,3501.0,2.987148315387288,68.77387981938173,,,3.3509700176366843,23.375390042056708,0.5291005291005291,,,75.34934201600868,0.3934337267670601,5.128205128205129,17.97585130918464,Atherton,San Mateo County,37.45,-122.2,2616.0,CA
94028,7051.0,52.5,244671.0,126049.0,2.538647000425472,1.6451567153595237,2000001.0,1963.0,4001.0,2485.0,0.5347593582887701,72.52673796791444,,,4.2405332576939445,21.04666004822011,0.3971067933626436,,,83.88881009785845,0.31201248049922,4.864558218692384,6.8359098000283645,Portola Valley,San Mateo County,37.37,-122.21,2744.0,CA
94030,22763.0,44.6,109813.0,51960.0,4.656679699512367,2.6226771515178138,1130500.0,1960.0,3481.0,2101.0,14.80552070263488,66.47248610862162,79145.0,189360.0,11.01348679875236,23.090102359091507,1.8099547511312213,,,41.65971093441111,0.5139920045688178,13.210033826824231,48.40750340464789,Millbrae,San Mateo County,37.61,-122.4,8374.0,CA
94037,2909.0,51.8,104607.0,48241.0,3.953248539016845,1.3062908215881746,870700.0,1973.0,3443.0,1762.0,6.012439530062197,76.71043538355218,,,13.303540735647989,28.25713303540736,0.0,,,89.68717772430388,0.0,6.153317291165349,0.7562736335510485,Montara,San Mateo County,37.542,-122.512,1169.0,CA
94038,3805.0,38.5,136328.0,54876.0,4.257555847568988,0.0,837400.0,1979.0,3728.0,1577.0,6.930051813471502,63.08290155440415,,,10.985545335085414,17.24047306176084,0.2628120893561104,,,80.76215505913272,0.4204993429697766,33.56110381077529,1.7082785808147174,Moss Beach,San Mateo County,37.55,-122.51,1109.0,CA
